nm, A
800,-0.001265
799,-0.001536
798,-0.001225
797,-0.001817
796,-0.001395
795,-0.001349
794,-0.001369
793,-0.000684
792,-0.001826
791,-0.001487
790,-0.001327
789,-0.001509
788,-0.001855
787,-0.001171
786,-0.001082
785,-0.0007
784,-0.001648
783,-0.001811
782,-0.000808
781,-0.000781
780,-0.001451
779,-0.001941
778,-0.001661
777,-0.001899
776,-0.001338
775,-0.001496
774,-0.001179
773,-0.002046
772,-0.001606
771,-0.001653
770,-0.001205
769,-0.001501
768,-0.000788
767,-0.001591
766,-0.001537
765,-0.001496
764,-0.002012
763,-0.00066
762,-0.001455
761,-0.00141
760,-0.001513
759,-0.001893
758,-0.001551
757,-0.001866
756,-0.000917
755,-0.001679
754,-0.001231
753,-0.001536
752,-0.001781
751,-0.001397
750,-0.001655
749,-0.001414
748,-0.001639
747,-0.001664
746,-0.001757
745,-0.001446
744,-0.001761
743,-0.001724
742,-0.001826
741,-0.001944
740,-0.001549
739,-0.001507
738,-0.001765
737,-0.001446
736,-0.001318
735,-0.001527
734,-0.001371
733,-0.001691
732,-0.001811
731,-0.001782
730,-0.001418
729,-0.001519
728,-0.001697
727,-0.001503
726,-0.001648
725,-0.001651
724,-0.001611
723,-0.00135
722,-0.001448
721,-0.001662
720,-0.001614
719,-0.001849
718,-0.001704
717,-0.001675
716,-0.001645
715,-0.001409
714,-0.001698
713,-0.001481
712,-0.001472
711,-0.00193
710,-0.001845
709,-0.001567
708,-0.001602
707,-0.001609
706,-0.001778
705,-0.001888
704,-0.001751
703,-0.001795
702,-0.001631
701,-0.001599
700,-0.001615
699,-0.001689
698,-0.001797
697,-0.001858
696,-0.002092
695,-0.00189
694,-0.001653
693,-0.001951
692,-0.0019
691,-0.001723
690,-0.001687
689,-0.001683
688,-0.001774
687,-0.0018
686,-0.001856
685,-0.001893
684,-0.002014
683,-0.001922
682,-0.001907
681,-0.001943
680,-0.001792
679,-0.001848
678,-0.0018
677,-0.001876
676,-0.001938
675,-0.001833
674,-0.001907
673,-0.001919
672,-0.001808
671,-0.001666
670,-0.001781
669,-0.001853
668,-0.00168
667,-0.002007
666,-0.002307
665,-0.002173
664,-0.002123
663,-0.002042
662,-0.00195
661,-0.002111
660,-0.002092
659,-0.001807
658,-0.001763
657,-0.00203
656,-0.001952
655,-0.001828
654,-0.001719
653,-0.001793
652,-0.002067
651,-0.002026
650,-0.002036
649,-0.002
648,-0.001978
647,-0.002027
646,-0.002084
645,-0.002252
644,-0.002327
643,-0.002175
642,-0.002096
641,-0.001987
640,-0.002102
639,-0.002071
638,-0.00207
637,-0.002254
636,-0.002168
635,-0.002192
634,-0.002275
633,-0.002327
632,-0.002228
631,-0.001923
630,-0.001882
629,-0.002138
628,-0.002278
627,-0.002093
626,-0.002143
625,-0.002109
624,-0.00205
623,-0.001997
622,-0.00205
621,-0.002087
620,-0.002
619,-0.002009
618,-0.002215
617,-0.002038
616,-0.002217
615,-0.002051
614,-0.00206
613,-0.002072
612,-0.002054
611,-0.002146
610,-0.002019
609,-0.002118
608,-0.00212
607,-0.002002
606,-0.002264
605,-0.002379
604,-0.002343
603,-0.002202
602,-0.00219
601,-0.002191
600,-0.002428
599,-0.002469
598,-0.002233
597,-0.001986
596,-0.002397
595,-0.002552
594,-0.002365
593,-0.002087
592,-0.002343
591,-0.002482
590,-0.002355
589,-0.002162
588,-0.002484
587,-0.002351
586,-0.002446
585,-0.002303
584,-0.002299
583,-0.002139
582,-0.002272
581,-0.002339
580,-0.002226
579,-0.002099
578,-0.00214
577,-0.002314
576,-0.002403
575,-0.002302
574,-0.002167
573,-0.002356
572,-0.002439
571,-0.002348
570,-0.002303
569,-0.002294
568,-0.00233
567,-0.002118
566,-0.002142
565,-0.002581
564,-0.002377
563,-0.002272
562,-0.002323
561,-0.002446
560,-0.002299
559,-0.002709
558,-0.002467
557,-0.002443
556,-0.002112
555,-0.002294
554,-0.002481
553,-0.002662
552,-0.002649
551,-0.002486
550,-0.002317
549,-0.002552
548,-0.002417
547,-0.002508
546,-0.002294
545,-0.002249
544,-0.002197
543,-0.002308
542,-0.002543
541,-0.002624
540,-0.002274
539,-0.002267
538,-0.002217
537,-0.002348
536,-0.002311
535,-0.00245
534,-0.002259
533,-0.002138
532,-0.002238
531,-0.00227
530,-0.002191
529,-0.002428
528,-0.002239
527,-0.002285
526,-0.002304
525,-0.002359
524,-0.002336
523,-0.002417
522,-0.00234
521,-0.002094
520,-0.00239
519,-0.002341
518,-0.002308
517,-0.002527
516,-0.002026
515,-0.002127
514,-0.002454
513,-0.002327
512,-0.001964
511,-0.002639
510,-0.002127
509,-0.002126
508,-0.002214
507,-0.002247
506,-0.002167
505,-0.002485
504,-0.001773
503,-0.002015
502,-0.002387
501,-0.001979
500,-0.00202
499,-0.002129
498,-0.001693
497,-0.001338
496,-0.001707
495,-0.001699
494,-0.001463
493,-0.001848
492,-0.001835
491,-0.001236
490,-0.001664
489,-0.001732
488,-0.00136
487,-0.001556
486,-0.001273
485,-0.001236
484,-0.001652
483,-0.001577
482,-0.001214
481,-0.001854
480,-0.001323
479,-0.001281
478,-0.001421
