nm, A
800,-0.00027
799,0.000309
798,0.000121
797,0.000784
796,0.000806
795,0.000153
794,0.000759
793,0.000637
792,-0.000208
791,0.000133
790,0.000837
789,-0.000215
788,-0.000117
787,0.000561
786,0.00014
785,0.000921
784,-0.000165
783,-0.000469
782,0.000456
781,0.00116
780,-0.000234
779,-0.000125
778,0.000163
777,-0.000302
776,0.000149
775,0.00072
774,-0.000113
773,-0.000603
772,0.000754
771,0.000537
770,0.000573
769,-0.000198
768,0.000511
767,0.000528
766,0.000807
765,0.000401
764,0.000289
763,0.001288
762,0.000864
761,0.000409
760,0.000593
759,-0.000116
758,0.000522
757,0.000039
756,0.00007
755,0.000222
754,0.000647
753,-0.000015
752,-0.000033
751,0.000337
750,0.000176
749,0.000273
748,0.000104
747,0.000118
746,0.000064
745,0.000322
744,-0.000163
743,0.000144
742,0.00036
741,0.000119
740,-0.000311
739,0.00009
738,0.00036
737,0.000252
736,0.00096
735,0.000679
734,0.000311
733,-0.000119
732,0.000107
731,-0.000122
730,0
729,0.000013
728,0.000119
727,0.000046
726,0.000076
725,0.000204
724,0.000181
723,0.000291
722,0.000271
721,0.000138
720,0.00035
719,0.000068
718,0.000196
717,0.000309
716,0.000442
715,0.000779
714,0.000244
713,0.000314
712,0.00038
711,0.000105
710,0.00032
709,0.000235
708,0.00036
707,0.000559
706,0.000346
705,0.000193
704,0.000463
703,0.000521
702,0.000173
701,0.00017
700,0.000427
699,0.00027
698,0.000232
697,0.00019
696,-0.000065
695,0.000452
694,0.000547
693,0.000167
692,0.000168
691,0.000429
690,0.000439
689,0.000266
688,0.000122
687,0.000102
686,0.000114
685,0.00014
684,0.000012
683,0.00002
682,0.00002
681,0.000002
680,0.000262
679,0.000292
678,0.000376
677,0.000336
676,0.00031
675,0.00041
674,0.000191
673,0.000061
672,0.000203
671,0.000314
670,0.000129
669,0.000191
668,0.000241
667,-0.000068
666,-0.000093
665,0.000201
664,0.000276
663,0.000174
662,0.000179
661,0.00001
660,-0.000036
659,0.000195
658,0.000318
657,0.000268
656,0.000282
655,0.000155
654,0.00029
653,0.00043
652,0.000207
651,0.000041
650,-0.000073
649,0.000035
648,0.000228
647,0.000166
646,0.000289
645,0.000291
644,0.000041
643,0.000152
642,0.000207
641,0.000191
640,0.000057
639,0.000005
638,0.000005
637,0.000109
636,0.000153
635,0.00017
634,0.000184
633,0.000062
632,0.000081
631,0.00016
630,0.000101
629,0.00002
628,0.000216
627,0.00045
626,0.000267
625,0.000148
624,-0.000005
623,0.000013
622,0.000096
621,0.000185
620,0.000176
619,0.000398
618,0.000292
617,0.000307
616,0.00017
615,0.000322
614,0.000267
613,0.000056
612,0.000235
611,0.000017
610,0.000157
609,0.000191
608,0.000318
607,0.000239
606,0.000259
605,0.000228
604,-0.000033
603,0.000187
602,0.000271
601,0.000282
600,0.000023
599,-0.000062
598,0.000065
597,0.000221
596,0.000155
595,-0.000084
594,0.000073
593,0.000289
592,0.000042
591,0.000125
590,0.000043
